"code","description"
"sunny","Sunny"
"partly_cloudy","Partly cloudy"
"cloudy_grey","Cloudy/ grey"
"foggy","Foggy"
"windy","Windy"
"light_rain","Light rain"
"really_rainy","Really rainy"
